NHS Region,Date,Median,Lower 95% CrI,Upper 95% CrI
Midlands,2020-08-28,1.36326837791696,1.15074023340393,1.61862057964275
Midlands,2020-08-27,1.36331920564744,1.15078238820457,1.61867030362424
Midlands,2020-08-26,1.36336672907103,1.15082314143012,1.61871515321143
Midlands,2020-08-25,1.36341132358644,1.15086217521049,1.61875708403398
Midlands,2020-08-24,1.29631952713747,1.10815459156556,1.52059305539706
Midlands,2020-08-23,1.2963508786749,1.10817828486764,1.52065215645128
Midlands,2020-08-22,1.29638048848384,1.1082014775451,1.52070613337937
Midlands,2020-08-21,1.29640844995837,1.10822420041211,1.52075263615393
Midlands,2020-08-20,1.29643485383188,1.10824645198682,1.52078716776777
Midlands,2020-08-19,1.2964598043474,1.10826810215567,1.52081905361988
Midlands,2020-08-18,1.29648342388718,1.10828888436986,1.52084931253061
Midlands,2020-08-17,1.18650884292714,1.02803779314119,1.39719237848732
Midlands,2020-08-16,1.18653182278829,1.02805233266122,1.39722280201104
Midlands,2020-08-15,1.18655395970304,1.02806679340623,1.39725103014584
Midlands,2020-08-14,1.18657526651036,1.02808118009822,1.39727718453661
Midlands,2020-08-13,1.1865957731271,1.02809548698861,1.39730138580732
Midlands,2020-08-12,1.18661561256412,1.02810967514385,1.39732393995313
Midlands,2020-08-11,1.18663504311526,1.02812367277216,1.39734541840017
Midlands,2020-08-10,1.08223821606656,0.930104739409803,1.2955845256576
Midlands,2020-08-09,1.08225320114263,0.930114432506888,1.29560188253103
Midlands,2020-08-08,1.08226792493613,0.930124276390063,1.29561826969506
Midlands,2020-08-07,1.08228237078695,0.930134264746785,1.29563369858752
Midlands,2020-08-06,1.08229654302066,0.93014440075459,1.29564820798105
Midlands,2020-08-05,1.08231056855961,0.930154741495335,1.29566206089532
Midlands,2020-08-04,1.08232472759447,0.930165414383574,1.2956758088063
Midlands,2020-08-03,0.907990776164271,0.764303290809902,1.08158320696079
Midlands,2020-08-02,0.908001045826411,0.764310980645191,1.08160333785934
Midlands,2020-08-01,0.908011519572942,0.764319102207748,1.08162311921228
Midlands,2020-07-31,0.908022197218427,0.764327676558765,1.08164253099689
Midlands,2020-07-30,0.908033088566882,0.764336736392844,1.0816615724151
Midlands,2020-07-29,0.908044236908558,0.764346348963846,1.08168039249333
Midlands,2020-07-28,0.908055721944109,0.764356620094675,1.08169934011871
Midlands,2020-07-27,0.810618874854262,0.683786184495654,0.952680062372603
Midlands,2020-07-26,0.810628194789467,0.683791864227156,0.952692702924794
Midlands,2020-07-25,0.81063793524757,0.683798005722105,0.952705464685532
Midlands,2020-07-24,0.810648119341242,0.68380464841819,0.952718328309659
Midlands,2020-07-23,0.810658764449022,0.683811827973714,0.952731308739626
Midlands,2020-07-22,0.810669859780962,0.683819561863235,0.952744560689976
Midlands,2020-07-21,0.810681360742575,0.683827846976359,0.952758402096457
Midlands,2020-07-20,0.779261752908771,0.688191221744762,0.94660485732123
Midlands,2020-07-19,0.779272540189196,0.688203116718177,0.946623750844183
Midlands,2020-07-18,0.779283882984185,0.688215965996478,0.946642861043591
Midlands,2020-07-17,0.779295808730358,0.688229852643538,0.946662170575425
Midlands,2020-07-16,0.779308350260036,0.688244846308966,0.946681688426288
Midlands,2020-07-15,0.779321553659925,0.688260955644711,0.946701549952984
Midlands,2020-07-14,0.779335479219375,0.68827811819526,0.946722045323838
Midlands,2020-07-13,0.747099512595897,0.634854911370533,0.871953266595652
Midlands,2020-07-12,0.747114057260098,0.634864323569678,0.871976228919411
Midlands,2020-07-11,0.747129464407681,0.634874647103845,0.871999856642619
Midlands,2020-07-10,0.747145771141647,0.634885971443611,0.872024155759115
Midlands,2020-07-09,0.747163072032926,0.634898390947614,0.872049155747206
Midlands,2020-07-08,0.747181627292306,0.634911996344856,0.872074981645006
Midlands,2020-07-07,0.747201880048662,0.634926873151616,0.872101872249825
Midlands,2020-07-06,0.671442717402329,0.561310007610855,0.842370862770515
Midlands,2020-07-05,0.671468235610972,0.561324426121577,0.842406065494772
Midlands,2020-07-04,0.671495923994178,0.561340562455271,0.842442524141592
Midlands,2020-07-03,0.671525972386674,0.561358618753968,0.842480263083249
